Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Rasa (Taste),Guna (Qualities),Virya (Potency),Vipaka (Post-digestive Effect),Prabhava (Special Effect),Dosha Impact,Mapped_Ingredients
Aloo Posto,West Bengal,Veg,None,150,20,10,5,2,150,Vitamin C,"Sweet, Astringent; Varies (Sweet/Astringent/Bitter)","Heavy, Dry; Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet; Sweet or Pungent,"Satiety-giving; Nourishing, Satiety-giving","Balances Pitta, aggravates Vata & Kapha; Generally balances Pitta, effects on Vata/Kapha vary","Potato, Posto"
Shorshe Ilish,West Bengal,Non-Veg,None,300,5,25,20,1,700,"Vitamin D, Vitamin B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Shorshe, Ilish"
Chingri Malai Curry,West Bengal,Non-Veg,None,350,10,25,30,5,800,"Vitamin A, Vitamin B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Chingri, Malai"
Bhetki Paturi,West Bengal,Non-Veg,None,250,8,15,20,2,600,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Bhetki, Paturi"
Dhokar Dalna,West Bengal,Veg,None,200,30,8,12,5,300,"Vitamin B, Vitamin C","Varies (Sweet/Astringent/Bitter); Astringent, Sweet","Light to Heavy, Dry to Oily (Varies); Light, Dry",Cooling,Sweet or Pungent; Pungent,"Nourishing, Satiety-giving; Protein-rich","Generally balances Pitta, effects on Vata/Kapha vary; Balances Kapha & Pitta, may aggravate Vata","Dhokar, Dalna"
Cholar Dal,West Bengal,Veg,None,180,28,5,9,4,250,Vitamin B,"Varies (Sweet/Astringent/Bitter); Astringent, Sweet","Light to Heavy, Dry to Oily (Varies); Light, Dry",Cooling,Sweet or Pungent; Pungent,"Nourishing, Satiety-giving; Protein-rich, cleansing","Generally balances Pitta, effects on Vata/Kapha vary; Balances Kapha & Pitta, may aggravate Vata","Cholar, Lentil"
Beguni,West Bengal,Veg,None,250,30,15,5,4,200,Vitamin C,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Beguni
Murgi Korma,West Bengal,Non-Veg,None,400,12,30,25,6,800,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Murgi, Korma"
Kosha Mangsho,West Bengal,Non-Veg,None,350,8,30,20,2,750,Vitamin B12,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Kosha, Mangsho"
Mishti Doi,West Bengal,Veg,Dairy,180,24,5,8,16,80,"Vitamin A, Vitamin B12",Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary","Mishti, Doi"
Kachori,West Bengal,Veg,Gluten,220,30,12,5,2,250,Vitamin B,Varies (Sweet/Astringent/Bitter),"Light to Heavy, Dry to Oily (Varies)",Cooling,Sweet or Pungent,"Nourishing, Satiety-giving","Generally balances Pitta, effects on Vata/Kapha vary",Kachori
